Industry,Funding Stage,Product Stage,Backend Tech Stack,Frontend Tech,Compute Platform,AMD Platform Used,Primary Model Used,Founded Year,Total Funding ($),Team Size,Monthly Recurring Revenue ($),Valuation ($),Customer Base,"Fireworks AI Credits Used ($, cumulative)",Social Media Followers,Success Score
Gaming AI,Seed,Launched,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,MiniMax-M2.7,2023,9371.0,7,676.8,42400.0,38,81.84,178,10.0
Creative & Media AI,Bootstrapped,Public Beta,"Java, Micronaut",Next.js,Fireworks AI API,—,Kimi K2.6,2024,69.0,2,2.5,5100.0,79,61.18,165,8.4
Legal & Compliance AI,Bootstrapped,Idea / Concept,"Node.js, NestJS",Next.js,Fireworks AI API,—,Kimi K2.6,2025,123.0,1,4.2,1900.0,75,14.13,6263,6.1
Gaming AI,Angel,Public Beta,"Node.js, GraphQL",React,Fireworks AI API,—,DeepSeek V4 Pro,2023,394.0,6,7.1,4100.0,294,179.85,64,10.0
Cybersecurity AI,Bootstrapped,Private Beta,"Java, Quarkus",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2026,131.0,2,12.5,4500.0,36,12.84,471,5.5
Climate & Energy AI,Seed,Public Beta,"Java, Quarkus",Flutter (Dart),Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 70B,2025,15838.0,10,362.5,97400.0,68,0.0,1105,10.0
Enterprise SaaS,Angel,Launched,"Java, Micronaut",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2026,1873.0,4,63.3,16200.0,43,2.5,897,7.8
Climate & Energy AI,Seed,Prototype,"Java, Spring Boot",Vue,Fireworks AI API,—,Kimi K2.6,2025,16804.0,6,507.3,148400.0,245,92.12,3019,10.0
E-commerce AI,Bootstrapped,Idea / Concept,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,GPT-OSS-120B (high),2024,119.0,2,7.3,5300.0,14,43.99,3845,6.9
Cybersecurity AI,Seed,MVP,"Node.js, NestJS",React,Own AMD GPU cluster,AMD Instinct MI300X,Gemma 2 9B,2024,9559.0,6,301.9,54800.0,130,0.0,779,10.0
Voice & Audio AI,Seed,Launched,"Node.js, GraphQL",Next.js,Own AMD GPU cluster,AMD Instinct MI325X,Whisper Large v3,2024,2987.0,9,103.4,19700.0,148,0.0,1175,10.0
Developer Tools,Pre-Seed,Private Beta,"Java, Quarkus",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI300X,Qwen2.5 32B,2026,1065.0,2,110.0,11200.0,19,0.0,362,8.4
Climate & Energy AI,Series A,Prototype,"Java, Micronaut",Flutter (Dart),Fireworks AI API,—,Kimi K2.6,2025,58797.0,8,54.7,478300.0,128,206.65,1363,10.0
Enterprise SaaS,Seed,Prototype,"TypeScript, Fastify",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2025,1983.0,7,8.1,17900.0,4,156.41,2383,10.0
Robotics & Vision AI,Bootstrapped,Prototype,"Java, Spring Boot",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2024,121.0,3,22.2,700.0,1,48.99,1613,6.4
FinTech AI,Bootstrapped,Private Beta,"Java, Spring Boot + Kafka",Vue,Own AMD GPU cluster,ROCm on MI250 cluster,Whisper Large v3,2026,95.0,1,6.9,1100.0,31,0.0,4052,5.3
Climate & Energy AI,Seed,Public Beta,"TypeScript, Fastify",React Native,Fireworks AI API,—,MiniMax-M2.7,2024,8134.0,7,37.3,72100.0,17,28.75,1771,10.0
Logistics & Supply Chain AI,Bootstrapped,Prototype,"Java, Spring Boot + Kafka",React Native,Fireworks AI API,—,DeepSeek V4 Flash,2024,65.0,3,0.2,1200.0,28,28.33,2224,5.9
Logistics & Supply Chain AI,Angel,Public Beta,"Java, Spring Boot",Svelte,Own AMD GPU cluster,ROCm on MI300X cluster,Whisper Large v3,2026,1203.0,3,80.1,9100.0,31,0.0,3194,8.5
Voice & Audio AI,Series A,Prototype,"Node.js, GraphQL",Vue,Own AMD GPU cluster,AMD Instinct MI250,Llama 3.1 70B,2023,68136.0,15,5448.4,571000.0,24,0.0,5592,10.0
Developer Tools,Series A,Prototype,"Java, Spring Boot",Next.js,Own AMD GPU cluster,AMD Radeon PRO W7900,Mixtral 8x7B,2025,55492.0,8,2322.6,175700.0,67,0.0,737,10.0
Robotics & Vision AI,Angel,Prototype,"TypeScript, Fastify",Flutter (Dart),Own AMD GPU cluster,ROCm on MI250 cluster,Mixtral 8x7B,2025,595.0,4,74.6,6900.0,8,0.0,5607,8.5
EdTech AI,Pre-Seed,Prototype,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,DeepSeek V4 Flash,2023,694.0,4,72.4,4800.0,167,55.3,1389,10.0
Voice & Audio AI,Pre-Seed,Public Beta,"Node.js, Express",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2026,938.0,5,28.5,3500.0,92,0.0,713,7.5
FinTech AI,Bootstrapped,Prototype,"Node.js, NestJS",React,Own AMD GPU cluster,ROCm on MI300X cluster,Stable Diffusion XL,2024,93.0,1,0.2,4600.0,21,0.0,1554,5.5
Legal & Compliance AI,Series A,Idea / Concept,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,MiniMax-M2.7,2023,52436.0,15,2449.2,305300.0,521,562.62,303,10.0
Developer Tools,Bootstrapped,Private Beta,"Java, Micronaut",Svelte,Own AMD GPU cluster,ROCm on MI300X cluster,SDXL Turbo,2023,47.0,1,1.0,1900.0,2,0.0,495,5.8
Robotics & Vision AI,Bootstrapped,Private Beta,"Node.js, GraphQL",Vue,Own AMD GPU cluster,ROCm on MI250 cluster,Llama 3.1 8B,2025,46.0,3,0.5,1700.0,72,0.0,6206,7.0
Robotics & Vision AI,Seed,Launched,"Java, Spring Boot + Kafka",Vue,Fireworks AI API,—,Kimi K2.6,2025,14977.0,3,3942.3,102100.0,5,613.54,2237,10.0
Climate & Energy AI,Bootstrapped,Public Beta,"Java, Spring Boot + Kafka",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2023,0.0,1,0.0,4700.0,15,142.41,2049,8.7
Climate & Energy AI,Seed,MVP,"Node.js, GraphQL",React Native,Own AMD GPU cluster,AMD Instinct MI325X,CodeLlama 34B,2024,7807.0,8,208.5,59300.0,184,0.0,5192,10.0
Logistics & Supply Chain AI,Seed,Prototype,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,DeepSeek V4 Flash,2023,6632.0,7,93.1,47500.0,62,24.43,1365,10.0
Developer Tools,Seed,Public Beta,"TypeScript, Fastify",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2026,13567.0,5,1377.5,81600.0,129,1.83,906,10.0
Cybersecurity AI,Pre-Seed,Prototype,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,AMD Instinct MI300X,Mistral 7B,2026,568.0,5,0.2,4000.0,11,0.0,4545,7.5
Enterprise SaaS,Angel,Public Beta,"Java, Quarkus",Flutter (Dart),Own AMD GPU cluster,AMD Radeon PRO W7900,Mixtral 8x7B,2024,2207.0,4,24.1,13900.0,71,0.0,1687,8.7
Enterprise SaaS,Bootstrapped,Public Beta,"Node.js, NestJS",Next.js,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 8B,2024,19.0,1,0.3,1700.0,14,0.0,61,5.1
Enterprise SaaS,Bootstrapped,Public Beta,"Java, Micronaut",Vue,Own AMD GPU cluster,AMD Instinct MI325X,SDXL Turbo,2025,33.0,2,0.9,1600.0,172,0.0,1280,8.8
HealthTech AI,Bootstrapped,MVP,"Node.js, NestJS",Vue,Fireworks AI API,—,GPT-OSS-120B (high),2024,87.0,2,2.9,2200.0,138,27.46,232,7.4
EdTech AI,Pre-Seed,Idea / Concept,"TypeScript, Fastify",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Qwen2.5 32B,2025,574.0,2,41.5,6900.0,14,0.0,1173,6.5
Creative & Media AI,Seed,MVP,"Node.js, NestJS",React Native,Own AMD GPU cluster,ROCm on MI250 cluster,Qwen2.5 32B,2024,1518.0,10,108.5,11500.0,3,0.0,4153,9.6
Voice & Audio AI,Seed,MVP,"Java, Spring Boot",React Native,Fireworks AI API,—,MiniMax-M2.7,2023,19145.0,8,476.2,155700.0,179,23.76,1328,10.0
Climate & Energy AI,Bootstrapped,Public Beta,"Node.js, GraphQL",React,Fireworks AI API,—,GPT-OSS-120B (high),2024,25.0,2,1.0,3200.0,16,29.87,931,4.8
Climate & Energy AI,Pre-Seed,Public Beta,"Java, Micronaut",Next.js,Fireworks AI API,—,GLM 5.1,2025,738.0,4,50.8,8600.0,11,10.03,1172,7.5
Developer Tools,Pre-Seed,MVP,"Java, Micronaut",Svelte,Fireworks AI API,—,DeepSeek V4 Pro,2024,254.0,2,5.8,5200.0,21,28.33,1051,5.7
HealthTech AI,Bootstrapped,Idea / Concept,"Java, Spring Boot + Kafka",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2023,103.0,2,2.5,2900.0,71,0.0,10555,7.3
E-commerce AI,Seed,MVP,"Node.js, NestJS",React Native,Fireworks AI API,—,DeepSeek V4 Flash,2026,11231.0,9,664.7,45600.0,192,2.45,8337,10.0
Cybersecurity AI,Seed,MVP,"Java, Quarkus",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Gemma 2 9B,2024,18202.0,5,1110.2,98700.0,64,0.0,232,10.0
Legal & Compliance AI,Pre-Seed,Idea / Concept,"Node.js, Express",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2025,688.0,3,35.3,7100.0,111,88.47,3682,10.0
HealthTech AI,Pre-Seed,Launched,"Java, Micronaut",Flutter (Dart),Fireworks AI API,—,MiniMax-M2.7,2024,188.0,5,0.1,1900.0,236,15.15,8360,10.0
Legal & Compliance AI,Pre-Seed,Launched,"Node.js, GraphQL",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2026,1050.0,2,41.7,10700.0,209,0.14,2291,10.0
EdTech AI,Angel,Private Beta,"Java, Micronaut",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI300X,Mistral 7B,2024,760.0,5,24.9,3100.0,26,0.0,4327,7.8
Voice & Audio AI,Pre-Seed,Private Beta,"Node.js, Express",Next.js,Fireworks AI API,—,Kimi K2.5,2026,349.0,4,8.3,1700.0,57,23.18,2779,7.8
E-commerce AI,Pre-Seed,Private Beta,"Node.js, NestJS",React Native,Fireworks AI API,—,GLM 5.1,2026,427.0,3,51.0,5500.0,36,21.0,2778,7.4
Climate & Energy AI,Series A,Private Beta,"Java, Spring Boot + Kafka",Next.js,Own AMD GPU cluster,ROCm on MI300X cluster,Mistral 7B,2024,28620.0,10,1260.4,189200.0,109,0.0,692,10.0
Legal & Compliance AI,Angel,Prototype,"Java, Quarkus",Vue,Fireworks AI API,—,DeepSeek V4 Flash,2024,2221.0,2,151.9,23800.0,76,29.97,1787,9.8
Logistics & Supply Chain AI,Seed,MVP,"Java, Micronaut",Flutter (Dart),Fireworks AI API,—,Kimi K2.5,2023,12939.0,10,417.2,73300.0,159,277.0,1688,10.0
Creative & Media AI,Pre-Seed,Private Beta,"Java, Spring Boot",React Native,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 8B,2024,1027.0,5,4.9,6100.0,74,0.0,1052,9.3
E-commerce AI,Seed,Private Beta,"Node.js, GraphQL",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2024,19076.0,4,425.0,76200.0,57,713.66,219,10.0
FinTech AI,Seed,MVP,"Node.js, Express",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Flash,2026,2141.0,5,8.3,19600.0,262,1.12,150,10.0
EdTech AI,Seed,Private Beta,"Java, Micronaut",Svelte,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 70B,2024,13367.0,8,222.5,100000.0,89,0.0,2130,10.0
E-commerce AI,Series A,Launched,"Node.js, Express",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2024,70505.0,14,676.7,560100.0,22,157.96,1417,10.0
FinTech AI,Bootstrapped,Public Beta,"Node.js, Express",Svelte,Fireworks AI API,—,Kimi K2.6,2026,128.0,3,3.0,4400.0,112,4.07,49,5.8
HealthTech AI,Seed,Launched,"Node.js, GraphQL",Next.js,Fireworks AI API,—,GLM 5.1,2025,3254.0,11,241.9,31500.0,183,188.41,389,10.0
HealthTech AI,Pre-Seed,Idea / Concept,"TypeScript, Fastify",Vue,Fireworks AI API,—,Kimi K2.6,2026,1497.0,4,30.7,8600.0,176,4.7,543,9.6
E-commerce AI,Pre-Seed,Idea / Concept,"Java, Spring Boot + Kafka",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2023,388.0,2,4.7,5000.0,32,12.37,1053,5.3
E-commerce AI,Seed,Public Beta,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,Kimi K2.6,2025,16473.0,5,130.1,138600.0,348,91.87,2613,10.0
Gaming AI,Seed,Public Beta,"Node.js, Express",React,Fireworks AI API,—,MiniMax-M2.7,2025,16424.0,10,1083.1,103300.0,135,40.65,6343,10.0
Voice & Audio AI,Pre-Seed,Public Beta,"Node.js, Express",Svelte,Own AMD GPU cluster,AMD Radeon PRO W7900,Mixtral 8x7B,2025,379.0,4,55.3,3300.0,80,0.0,551,7.3
Robotics & Vision AI,Pre-Seed,Public Beta,"Java, Quarkus",React,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 8B,2026,579.0,4,17.8,8200.0,22,0.0,50,7.6
Cybersecurity AI,Bootstrapped,Prototype,"Java, Quarkus",Next.js,Own AMD GPU cluster,ROCm on MI250 cluster,SDXL Turbo,2025,100.0,3,1.0,3400.0,30,0.0,688,5.8
Cybersecurity AI,Series A,Prototype,"Java, Quarkus",Vue,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 8B,2024,20247.0,17,977.6,181400.0,584,0.0,4168,10.0
E-commerce AI,Pre-Seed,Private Beta,"Node.js, Express",Vue,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 8B,2026,477.0,5,6.2,8000.0,40,0.0,1131,7.7
Climate & Energy AI,Pre-Seed,Private Beta,"TypeScript, Fastify",Svelte,Fireworks AI API,—,Kimi K2.5,2025,1203.0,4,24.0,12800.0,19,14.45,1562,6.9
EdTech AI,Pre-Seed,Prototype,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,Kimi K2.5,2026,1203.0,4,112.0,11000.0,23,7.9,3631,6.8
Robotics & Vision AI,Bootstrapped,Public Beta,"Java, Quarkus",Svelte,Fireworks AI API,—,Kimi K2.5,2025,54.0,1,0.3,2300.0,40,76.39,3129,8.3
Developer Tools,Series A,Private Beta,"TypeScript, Fastify",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2026,50523.0,11,1446.8,373800.0,28,49.84,3711,10.0
EdTech AI,Bootstrapped,Idea / Concept,"Java, Quarkus",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2024,2.0,1,0.2,900.0,0,138.29,5695,9.0
E-commerce AI,Angel,Prototype,"Java, Spring Boot + Kafka",React Native,Fireworks AI API,—,Kimi K2.5,2025,691.0,3,2.9,6700.0,14,37.66,299,6.9
Climate & Energy AI,Angel,Private Beta,"TypeScript, Fastify",Next.js,Fireworks AI API,—,DeepSeek V4 Flash,2023,2129.0,4,79.2,22300.0,88,61.95,2950,10.0
Gaming AI,Pre-Seed,Public Beta,"Node.js, GraphQL",Next.js,Fireworks AI API,—,Kimi K2.6,2024,228.0,3,1.8,5000.0,56,292.67,20,10.0
Creative & Media AI,Bootstrapped,Public Beta,"Java, Micronaut",Next.js,Fireworks AI API,—,DeepSeek V4 Flash,2023,53.0,1,0.1,1100.0,74,33.35,3487,6.2
Voice & Audio AI,Angel,Idea / Concept,"Node.js, GraphQL",Flutter (Dart),Fireworks AI API,—,MiniMax-M2.7,2026,1841.0,6,49.9,16600.0,237,1.45,26,10.0
Robotics & Vision AI,Series A,Launched,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,AMD Instinct MI300X,Mixtral 8x7B,2026,42473.0,8,242.8,175900.0,15,0.0,526,10.0
EdTech AI,Angel,Private Beta,"Node.js, Express",React,Own AMD GPU cluster,ROCm on MI300X cluster,SDXL Turbo,2025,2352.0,3,40.8,17600.0,58,0.0,4080,9.6
Robotics & Vision AI,Bootstrapped,MVP,"Node.js, NestJS",Flutter (Dart),Fireworks AI API,—,Kimi K2.5,2025,7.0,1,0.0,2200.0,28,84.04,4232,7.7
EdTech AI,Bootstrapped,MVP,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,Kimi K2.5,2024,92.0,3,0.1,1600.0,56,102.8,4179,9.7
FinTech AI,Bootstrapped,Prototype,"Java, Micronaut",React Native,Fireworks AI API,—,GLM 5.1,2026,147.0,3,1.7,5300.0,9,6.62,209,4.7
Cybersecurity AI,Bootstrapped,Prototype,"TypeScript, Fastify",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2025,141.0,1,0.6,2400.0,95,3.05,2270,6.8
HealthTech AI,Bootstrapped,MVP,"Node.js, NestJS",Svelte,Own AMD GPU cluster,ROCm on MI300X cluster,Mistral 7B,2024,35.0,1,1.1,500.0,11,0.0,3083,5.7
Enterprise SaaS,Bootstrapped,Prototype,"Java, Spring Boot + Kafka",Next.js,Own AMD GPU cluster,AMD Instinct MI250,Gemma 2 9B,2024,41.0,3,0.6,1700.0,22,0.0,2220,4.4
Developer Tools,Seed,Prototype,"Java, Spring Boot",Next.js,Own AMD GPU cluster,AMD Instinct MI250,Mistral 7B,2023,6153.0,10,0.3,25500.0,23,0.0,1664,10.0
FinTech AI,Seed,MVP,"Java, Micronaut",React,Fireworks AI API,—,DeepSeek V4 Pro,2024,9092.0,4,400.7,32200.0,16,89.49,3918,10.0
Robotics & Vision AI,Pre-Seed,Public Beta,"Node.js, NestJS",Vue,Fireworks AI API,—,MiniMax-M2.7,2026,1093.0,4,103.9,7300.0,46,2.27,647,7.0
Developer Tools,Bootstrapped,Public Beta,"Java, Quarkus",Vue,Fireworks AI API,—,Kimi K2.5,2025,20.0,2,1.7,2800.0,9,7.13,2034,4.4
Enterprise SaaS,Seed,Prototype,"Node.js, GraphQL",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Whisper Large v3,2026,5908.0,9,184.3,50900.0,4,0.0,666,10.0
Logistics & Supply Chain AI,Angel,Public Beta,"Java, Spring Boot + Kafka",Flutter (Dart),Fireworks AI API,—,GPT-OSS-120B (high),2024,1208.0,6,60.4,9200.0,78,56.44,8078,10.0
EdTech AI,Pre-Seed,MVP,"Java, Quarkus",Vue,Own AMD GPU cluster,AMD Instinct MI325X,Stable Diffusion XL,2026,1097.0,4,40.5,8100.0,26,0.0,8101,8.9
Climate & Energy AI,Angel,Private Beta,"Node.js, Express",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Pro,2025,2562.0,2,233.4,20200.0,5,19.32,3795,9.8
Legal & Compliance AI,Angel,MVP,"Java, Spring Boot + Kafka",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI250,Whisper Large v3,2023,1636.0,5,124.8,7200.0,21,0.0,2497,8.1
Gaming AI,Bootstrapped,MVP,"Java, Spring Boot + Kafka",Vue,Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2024,60.0,2,1.0,3600.0,3,0.0,703,5.3
Gaming AI,Pre-Seed,Public Beta,"Node.js, Express",Svelte,Own AMD GPU cluster,ROCm on MI250 cluster,Mistral 7B,2023,379.0,5,1.0,2500.0,118,0.0,5314,8.2
Robotics & Vision AI,Seed,Public Beta,"Node.js, NestJS",Next.js,Own AMD GPU cluster,ROCm on MI300X cluster,Qwen2.5 32B,2025,14877.0,6,208.3,80200.0,22,0.0,2580,10.0
FinTech AI,Series A,MVP,"TypeScript, Fastify",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2025,41822.0,7,5423.8,283300.0,101,22.28,182,10.0
Cybersecurity AI,Seed,MVP,"Java, Quarkus",React,Fireworks AI API,—,MiniMax-M2.7,2026,12560.0,7,271.7,93500.0,62,3.04,2952,10.0
Gaming AI,Bootstrapped,Private Beta,"Java, Quarkus",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2025,62.0,2,1.0,3400.0,9,9.84,2248,4.2
Voice & Audio AI,Pre-Seed,Private Beta,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,Kimi K2.6,2025,1345.0,2,9.8,11100.0,7,17.33,1716,6.4
Climate & Energy AI,Seed,Idea / Concept,"Node.js, NestJS",React,Fireworks AI API,—,Kimi K2.5,2026,9633.0,7,196.6,61500.0,218,14.12,483,10.0
Logistics & Supply Chain AI,Pre-Seed,Idea / Concept,"Java, Spring Boot",Next.js,Own AMD GPU cluster,ROCm on MI250 cluster,CodeLlama 34B,2026,253.0,5,15.2,2700.0,71,0.0,7900,8.1
Logistics & Supply Chain AI,Angel,MVP,"Java, Spring Boot",Svelte,Fireworks AI API,—,GLM 5.1,2026,1830.0,2,4.0,9700.0,3,5.87,20,6.2
Cybersecurity AI,Bootstrapped,Public Beta,"TypeScript, Fastify",React,Fireworks AI API,—,Kimi K2.6,2026,36.0,3,1.1,3600.0,83,16.04,1168,7.7
FinTech AI,Bootstrapped,Public Beta,"Node.js, NestJS",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Qwen2.5 32B,2025,83.0,2,1.1,900.0,25,0.0,4730,5.6
Robotics & Vision AI,Series A,Idea / Concept,"Java, Spring Boot",React Native,Own AMD GPU cluster,AMD Instinct MI325X,CodeLlama 34B,2024,48447.0,6,3327.4,390800.0,229,0.0,5705,10.0
Climate & Energy AI,Angel,Public Beta,"Node.js, NestJS",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,SDXL Turbo,2025,1182.0,4,103.5,11400.0,93,0.0,282,8.9
EdTech AI,Seed,Launched,"Java, Spring Boot",Vue,Own AMD GPU cluster,ROCm on MI250 cluster,Llama 3.1 70B,2024,18745.0,8,69.5,152100.0,124,0.0,7829,10.0
Cybersecurity AI,Pre-Seed,Prototype,"Java, Spring Boot + Kafka",Vue,Fireworks AI API,—,DeepSeek V4 Flash,2024,620.0,3,6.5,5300.0,14,41.31,1057,6.8
Gaming AI,Pre-Seed,Idea / Concept,"Java, Micronaut",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Pro,2023,327.0,2,2.2,5700.0,6,101.47,1596,8.8
FinTech AI,Bootstrapped,MVP,"Java, Spring Boot",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI300X,Gemma 2 9B,2024,137.0,2,3.8,2500.0,15,0.0,2020,5.0
Gaming AI,Bootstrapped,Prototype,"Java, Spring Boot + Kafka",Vue,Own AMD GPU cluster,ROCm on MI300X cluster,Mistral 7B,2024,103.0,1,9.8,1500.0,4,0.0,547,5.7
Climate & Energy AI,Bootstrapped,Launched,"Java, Micronaut",React,Fireworks AI API,—,MiniMax-M2.7,2026,92.0,3,3.0,600.0,178,0.99,4649,8.1
E-commerce AI,Bootstrapped,Prototype,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,Kimi K2.6,2024,18.0,2,1.1,2600.0,32,136.07,10710,9.4
Robotics & Vision AI,Pre-Seed,Public Beta,"Java, Spring Boot + Kafka",React,Own AMD GPU cluster,ROCm on MI250 cluster,CodeLlama 34B,2023,1348.0,5,192.8,13300.0,45,0.0,1476,9.4
Robotics & Vision AI,Pre-Seed,MVP,"Node.js, NestJS",React Native,Fireworks AI API,—,Kimi K2.6,2024,526.0,2,16.9,5700.0,17,293.55,2827,9.1
EdTech AI,Seed,Prototype,"Java, Quarkus",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI300X,CodeLlama 34B,2026,14819.0,10,947.7,90800.0,53,0.0,361,10.0
Robotics & Vision AI,Pre-Seed,Prototype,"Node.js, Express",Next.js,Fireworks AI API,—,Kimi K2.5,2023,995.0,2,68.7,10100.0,20,267.97,9455,10.0
Climate & Energy AI,Bootstrapped,Private Beta,"Node.js, GraphQL",Vue,Fireworks AI API,—,Kimi K2.5,2025,66.0,2,2.9,2800.0,52,73.67,1673,8.1
Robotics & Vision AI,Bootstrapped,Prototype,"Node.js, GraphQL",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2025,104.0,3,4.0,4200.0,54,26.81,10165,8.7
E-commerce AI,Bootstrapped,Private Beta,"Node.js, GraphQL",Vue,Own AMD GPU cluster,AMD Instinct MI250,Gemma 2 9B,2025,5.0,2,1.2,2300.0,75,0.0,504,6.0
Logistics & Supply Chain AI,Pre-Seed,Private Beta,"Node.js, GraphQL",Vue,Own AMD GPU cluster,ROCm on MI300X cluster,Whisper Large v3,2026,1168.0,5,104.3,11500.0,48,0.0,1647,8.5
Logistics & Supply Chain AI,Pre-Seed,Idea / Concept,"Java, Spring Boot",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 70B,2026,735.0,2,48.4,5100.0,15,0.0,1772,6.3
Climate & Energy AI,Pre-Seed,Prototype,"Java, Spring Boot",Next.js,Fireworks AI API,—,Kimi K2.5,2024,469.0,4,36.0,5900.0,7,195.54,7738,10.0
HealthTech AI,Seed,Prototype,"Node.js, Express",React,Own AMD GPU cluster,ROCm on MI300X cluster,CodeLlama 34B,2026,16630.0,6,78.6,97600.0,21,0.0,1020,10.0
Climate & Energy AI,Bootstrapped,Launched,"Node.js, Express",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI250,Llama 3.1 8B,2026,134.0,3,12.1,1800.0,46,0.0,3098,5.7
HealthTech AI,Bootstrapped,Private Beta,"Java, Micronaut",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Flash,2026,102.0,1,0.5,2800.0,54,0.68,2480,3.0
EdTech AI,Angel,Idea / Concept,"Java, Micronaut",React Native,Fireworks AI API,—,MiniMax-M2.7,2024,793.0,3,1.2,4600.0,16,45.48,58,8.0
Creative & Media AI,Pre-Seed,MVP,"Java, Spring Boot",React,Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2025,573.0,2,31.9,6000.0,9,0.0,1690,6.4
Climate & Energy AI,Pre-Seed,MVP,"Java, Micronaut",React,Fireworks AI API,—,GPT-OSS-120B (high),2025,586.0,5,0.4,5000.0,13,13.29,432,5.2
Enterprise SaaS,Bootstrapped,Idea / Concept,"Java, Quarkus",Vue,Fireworks AI API,—,DeepSeek V4 Flash,2024,107.0,1,5.2,800.0,76,12.56,436,4.7
Creative & Media AI,Pre-Seed,MVP,"Node.js, NestJS",React,Own AMD GPU cluster,ROCm on MI300X cluster,Qwen2.5 32B,2023,655.0,4,102.1,8000.0,63,0.0,35,7.1
E-commerce AI,Pre-Seed,MVP,"Java, Micronaut",Flutter (Dart),Fireworks AI API,—,MiniMax-M2.7,2023,881.0,2,24.4,8900.0,1,28.56,7339,7.2
Gaming AI,Seed,Launched,"Node.js, Express",React Native,Fireworks AI API,—,DeepSeek V4 Flash,2024,3406.0,7,46.8,20300.0,2,12.76,1349,9.2
Gaming AI,Seed,MVP,"Node.js, NestJS",React,Fireworks AI API,—,GLM 5.1,2025,17600.0,7,1601.2,154700.0,58,270.34,9668,10.0
Creative & Media AI,Bootstrapped,Launched,"Node.js, Express",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI325X,Whisper Large v3,2024,128.0,2,2.0,2400.0,23,0.0,4117,5.6
Robotics & Vision AI,Bootstrapped,MVP,"TypeScript, Fastify",React,Fireworks AI API,—,Kimi K2.5,2023,50.0,1,0.6,2000.0,2,42.91,2109,5.5
E-commerce AI,Pre-Seed,Prototype,"Java, Spring Boot",Flutter (Dart),Own AMD GPU cluster,ROCm on MI250 cluster,Mistral 7B,2024,843.0,2,73.3,8700.0,37,0.0,2649,6.7
